ENSP00000371847.2,ENST00000382410.3,ENSG00000178591.7,DEFB125
ENSP00000371835.3,ENST00000382398.4,ENSG00000125788.6,DEFB126
ENSP00000371825.3,ENST00000382388.4,ENSG00000088782.5,DEFB127
ENSP00000335382.4,ENST00000334391.5,ENSG00000185982.7,DEFB128
ENSP00000246105.4,ENST00000246105.4,ENSG00000125903.4,DEFB129
ENSP00000371813.3,ENST00000382376.4,ENSG00000186458.5,DEFB132
ENSP00000371806.5,ENST00000382369.9,ENSG00000196476.13,C20orf96
ENSP00000353470.2,ENST00000360321.7,ENSG00000196476.13,C20orf96
ENSP00000383128.4,ENST00000400269.4,ENSG00000196476.13,C20orf96
ENSP00000484056.1,ENST00000500893.4,ENSG00000247315.4,ZCCHC3
ENSP00000347646.1,ENST00000342665.5,ENSG00000177732.9,SOX12
ENSP00000477135.1,ENST00000609179.5,ENSG00000125841.15,NRSN2
ENSP00000371728.3,ENST00000382291.7,ENSG00000125841.15,NRSN2
ENSP00000477349.1,ENST00000609504.5,ENSG00000125841.15,NRSN2
ENSP00000371722.2,ENST00000382285.7,ENSG00000125841.15,NRSN2
ENSP00000479642.1,ENST00000608467.5,ENSG00000125841.15,NRSN2
ENSP00000477183.1,ENST00000608736.1,ENSG00000125841.15,NRSN2
ENSP00000476543.1,ENST00000608875.1,ENSG00000125841.15,NRSN2
ENSP00000217233.3,ENST00000217233.9,ENSG00000101255.14,TRIB3
ENSP00000415416.2,ENST00000422053.3,ENSG00000101255.14,TRIB3
ENSP00000415080.1,ENST00000411647.5,ENSG00000125826.23,RBCK1
ENSP00000371649.3,ENST00000382214.7,ENSG00000125826.23,RBCK1
ENSP00000405288.1,ENST00000415942.5,ENSG00000125826.23,RBCK1
ENSP00000417173.1,ENST00000475269.5,ENSG00000125826.23,RBCK1
ENSP00000387799.1,ENST00000441733.5,ENSG00000125826.23,RBCK1
ENSP00000254960.5,ENST00000353660.7,ENSG00000125826.23,RBCK1
ENSP00000513444.1,ENST00000697804.1,ENSG00000125826.23,RBCK1
ENSP00000348632.6,ENST00000356286.10,ENSG00000125826.23,RBCK1
ENSP00000513445.1,ENST00000400245.3,ENSG00000125826.23,RBCK1
ENSP00000371616.3,ENST00000382181.2,ENSG00000125826.23,RBCK1
ENSP00000383106.3,ENST00000400247.3,ENSG00000125826.23,RBCK1
ENSP00000513446.1,ENST00000697805.1,ENSG00000125826.23,RBCK1
ENSP00000393841.1,ENST00000414880.1,ENSG00000125826.23,RBCK1
ENSP00000506012.1,ENST00000680792.1,ENSG00000125875.16,TBC1D20
ENSP00000432280.1,ENST00000461304.5,ENSG00000125875.16,TBC1D20
ENSP00000346139.4,ENST00000354200.5,ENSG00000125875.16,TBC1D20
ENSP00000505557.1,ENST00000681539.1,ENSG00000125875.16,TBC1D20
ENSP00000504992.1,ENST00000681441.1,ENSG00000125875.16,TBC1D20
ENSP00000505797.1,ENST00000681414.1,ENSG00000125875.16,TBC1D20
ENSP00000505329.1,ENST00000681129.1,ENSG00000125875.16,TBC1D20
ENSP00000504904.1,ENST00000679741.1,ENSG00000125875.16,TBC1D20
ENSP00000506050.1,ENST00000680990.1,ENSG00000125875.16,TBC1D20
ENSP00000506511.1,ENST00000681777.1,ENSG00000125875.16,TBC1D20
ENSP00000505197.1,ENST00000679895.1,ENSG00000125875.16,TBC1D20
ENSP00000506231.1,ENST00000680284.1,ENSG00000125875.16,TBC1D20
ENSP00000504974.1,ENST00000681551.1,ENSG00000125875.16,TBC1D20
ENSP00000506502.1,ENST00000679973.1,ENSG00000125875.16,TBC1D20
ENSP00000506556.1,ENST00000680911.1,ENSG00000125875.16,TBC1D20
